Tsinghua Tongfang, Other,600100
Xinwei Group,Other,600485
China Southern Airlines,Airline,600029
SAIC Motor,Automotive,600104
Shanghai Pudong Development Bank,Banking,600000
China Minsheng Bank,Banking,600016
China Merchants Bank,Banking,600036
Bank of Jiangsu,Banking,600919
Industrial Bank,Banking,601166
Bank of Beijing,Banking,601169
Bank of Shanghai,Banking,601229
Agricultural Bank of China,Banking,601288
Bank of Communications,Banking,601328
Industrial and Commercial Bank of China,Banking,601398
China Everbright Bank,Banking,601818
Bank of China,Banking,601988
Kweichow Moutai, Beverages,600519
China Railway Construction ,Construction,601186
China Railway [Engineering] ,Construction,601390
China State Construction Engineering ,Construction,601668
China Communications Construction ,Construction,601800
Yili Group,Dairy,600887
China Shenhua Energy ,Energy,601088
China National Nuclear Power ,Energy,601985
CITIC Securities,Financial services,600030
Haitong Securities,Financial services,600837
Orient Securities,Financial services,600958
China Merchants Securities,Financial services,600999
Dongxing Securities,Financial services,601198
Guotai Junan Securities,Financial services,601211
Huatai Securities,Financial services,601688
Everbright Securities,Financial services,601788
China Galaxy Securities,Financial services,601881
Founder Securities,Financial services,601901
Ping An Insurance,Insurance,601318
New China Life Insurance,Insurance,601336
China Pacific Insurance,Insurance,601601
China Life Insurance,Insurance,601628
China Northern Rare Earth,Mining,600111
Shandong Gold Mining,Mining,600547
Sinopec,Oil & gas,600028
PetroChina,Oil & gas,601857
Kangmei Pharmaceutical,Pharmaceutical,600518
Daqin Railway,Rail transport,601006
Poly Real Estate,Real estate,600048
China Fortune Land Development,Real estate,600340
Greenland Holdings,Real estate,600606
CRRC,Rolling stock,601766
China Shipbuilding Industry,Shipbuilding,601989
China United Network Communications,Telecommunication,600050
