Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
601166.SS,16.09,2020/09/15,15:00 CST,-0.030000687,16.08,16.21,16.01,52870006,,,,,,,
002470.SZ,1.51,2020/09/15,16:29 CST,-0.08000004,1.51,1.53,1.51,53186422,,,,,,,
002958.SZ,5.29,2020/09/15,16:29 CST,0.0,5.23,5.38,5.18,52556671,,,,,,,
300044.SZ,8.55,2020/09/15,16:29 CST,0.11000061,8.42,8.89,8.33,53435954,,,,,,,
600418.SS,7.92,2020/09/15,15:00 CST,0.28999996,7.65,8.05,7.63,54105584,,,,,,,
300056.SZ,9.83,2020/09/15,16:29 CST,-0.09000015,10.0,11.32,9.58,54420538,,,,,,,
600804.SS,8.34,2020/09/15,15:00 CST,0.22000027,8.07,8.36,7.71,55809500,,,,,,,
002171.SZ,9.55,2020/09/15,16:29 CST,-0.23999977,10.14,10.14,9.47,54002352,,,,,,,
300336.SZ,5.25,2020/09/15,16:29 CST,-0.17000008,5.45,5.58,5.19,54141579,,,,,,,
601005.SS,1.54,2020/09/15,15:00 CST,-0.03000009,1.57,1.57,1.54,56328551,,,,,,,
002662.SZ,4.25,2020/09/15,16:29 CST,0.21999979,4.05,4.35,4.03,54926153,,,,,,,
002235.SZ,9.56,2020/09/15,16:29 CST,-1.0599995,10.88,11.01,9.56,54837793,,,,,,,
601377.SS,8.11,2020/09/15,15:00 CST,-0.05000019,8.09,8.2,8.06,56009040,,,,,,,
002285.SZ,5.69,2020/09/15,16:29 CST,-0.099999905,5.83,5.96,5.59,55138527,,,,,,,
300228.SZ,7.0,2020/09/15,16:29 CST,-0.32999992,7.21,7.42,6.84,55329526,,,,,,,
000564.SZ,3.28,2020/09/15,16:29 CST,0.03999996,3.23,3.34,3.19,55460014,,,,,,,
600110.SS,5.83,2020/09/15,15:00 CST,0.069999695,5.76,5.91,5.7,56784059,,,,,,,
000338.SZ,14.9,2020/09/15,16:29 CST,0.54999924,14.35,14.95,14.31,56693203,,,,,,,
600196.SS,49.68,2020/09/15,15:00 CST,1.9300003,47.99,50.3,47.33,57340293,,,,,,,
600867.SS,14.9,2020/09/15,15:00 CST,0.07999992,14.93,15.25,14.74,57627041,,,,,,,
